Autoridad Ambiental,Nombre de la estación,Latitud,Longitud,Ubicación,Departamento,Municipio,Tipo de Estación,Variable,Unidades,Tiempo Promedio,Promedio,Número de Excedencias,Representatividad Temporal,Porcentaje de excedencias,Mediana,Percentil 98,Máximo,Mínimo,Días con Excedencias
AMVA,MED-VIHE,6.256222,-75.558833,"(6.256222, -75.558833)",ANTIOQUIA,MEDELLÍN,Fija,O3,ugm3,8,33.2,114,47,2.76,29.1,84.9,142.1,2.4,29
AMVA,MED-VIHE,6.256222,-75.558833,"(6.256222, -75.558833)",ANTIOQUIA,MEDELLÍN,Fija,PM10,ugm3,24,33.8,0,44,0,31.5,59,70,17,0
CAM,CAM Norte,2.9625,-75.297467,"(2.9625, -75.297467)",HUILA,NEIVA,Fija,PM10,ugm3,24,28.6,0,73,0,27.5,51.8,61,7,0
CAM,CORHUILA,2.930678,-75.265108,"(2.930678, -75.265108)",HUILA,NEIVA,Fija,PM10,ugm3,24,15.6,0,73,0,14,32,42,5,0
CAR,03 Soacha-Ladrillera Santafé,4.5763093,-74.21416596,"(4.5763093, -74.21416596)",CUNDINAMARCA,SOACHA,Fija,NO2,ugm3,24,13.2,0,76,0,13.2,30.1,33.8,1.9,0
CAR,03 Soacha-Ladrillera Santafé,4.5763093,-74.21416596,"(4.5763093, -74.21416596)",CUNDINAMARCA,SOACHA,Fija,PM10,ugm3,24,47.6,1,91,0.3,46,86.4,113,15,1
CAR,04 Soacha-Hospital,4.584585267,-74.21987793,"(4.584585267, -74.21987793)",CUNDINAMARCA,SOACHA,Fija,NO2,ugm3,24,3.9,0,39,0,4,6.6,6.7,0,0
CAR,04 Soacha-Hospital,4.584585267,-74.21987793,"(4.584585267, -74.21987793)",CUNDINAMARCA,SOACHA,Fija,PM10,ugm3,24,58,0,42,0,62,91,92,13,0
CAR,04 Soacha-Hospital,4.584585267,-74.21987793,"(4.584585267, -74.21987793)",CUNDINAMARCA,SOACHA,Fija,PST,ugm3,24,82.6,0,42,0,87,129,143,30,0
CAR,05 Sibaté-Los Sauces,4.525166711,-74.2435349,"(4.525166711, -74.2435349)",CUNDINAMARCA,SIBATÉ,Fija,PM10,ugm3,24,68.7,26,86,8.31,66,119.8,141,9,26
