noid,codigo_departamento,nombre_departamento,codigo_municipio,nombre_municipio,zona_postal,codigo_postal,limite_norte,limite_sur,limite_este,limite_oeste,tipo,barrios_contenidos_en_el_codigo_postal,veredas_contenidas_en_el_codigo_postal
2833,68,SANTANDER,68264,ENCINO,6825,682548,RÍO GUACHA,M. CHARA.- DUITA. Y STA. R. DE V.,MPIO. CERINZA Y BELEN,RÍO LA RUSIA,Rural,Sin Informacion de Barrios,Avendaño- Avendaños-  Cabuya-  Cañada-  Centro-  Chapa-  El Carmen-  El Hato-  La Meseta-  Martinez Peña-  Patios Altos-  Patios Bajos-  Piedras Blancas-  Rionegro
1481,23,CORDOBA,23555,PLANETA RICA,2330,233047,MPIO. SAN CARLOS Y PUEBLO NUEVO,AY. TREMENTINA Y VÍA EL ALMEN.-MEDIO R.,VÍA MEDIO RANCHO-PUEBLO NUEVO,MUNICIPIO MONTERIA,Rural,Sin Informacion de Barrios,Maquencal
679,13,BOLIVAR,13744,SIMITI,1350,135020,CL 35,CL 16,KR 24,KR 11,Urbano,Abajo- Areas Proyectadas- Arriba- El Pesebre- La Sabana- Las Puntas- Pupa- San Francisco- Urbanización La Original,Sin Informacion de Veredas
222,5,ANTIOQUIA,05376,LA CEJA,550,55010,CL 29,CL 6,LIMITE URBANO,KR 29,Urbano,Area de Expansión Urbana La Floresta- Area de Expansión Urbana Ofir- Centro- Cuatro Esquinas- Fray Eugenio- Payuco- San Cayetano,Sin Informacion de Veredas
593,13,BOLIVAR,13620,SAN CRISTOBAL,1315,131527,MUNICIPIO REPELÓN,M. SOPLAVIENTO Y CALAMAR,M. MANATÍ Y SANTA LUCIA,MUNICIPIO SOPLAVIENTO,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
1518,23,CORDOBA,23090,CANALETE,2350,235048,MUNICIPIO LOS CORDOBAS,MPIO. ARBOLETES Y MONTERIA,RÍO CANALETE,MUNICIPIO ARBOLETES,Rural,Sin Informacion de Barrios,Buenavista- Tres Tusas
2431,52,NARIÑO,52320,GUAITARILLA,5255,525507,MPIO. ANCUYÁ Y CONSACÁ,MUNICIPIO IMUES,M. CONSACÁ Y YACUANQUER,Q/DA. GRANADILLO Y RELIEVE M.,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
3372,76,VALLE DEL CAUCA,76111,GUADALAJARA DE BUGA,7630,763048,M. SAN PEDRO Y TULUÁ,M. GINEBRA Y EL CERRITO,RÍO COFRE Y Q/DA. LOS ALPES,RÍO (PERMANENTE),Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
3181,73,TOLIMA,73671,SALDAÑA,7335,733570,LIMITE URBANO,CL 3,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
766,15,BOYACA,15332,GÜICAN,1514,151440,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
