noid,codigo_departamento,nombre_departamento,codigo_municipio,nombre_municipio,zona_postal,codigo_postal,limite_norte,limite_sur,limite_este,limite_oeste,tipo,barrios_contenidos_en_el_codigo_postal,veredas_contenidas_en_el_codigo_postal
877,15,BOYACA,15621,RONDON,1534,153420,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
1765,25,CUNDINAMARCA,25592,QUEBRADANEGRA,2534,253427,MUNICIPIO UTICA,MUNICIPIO VILLETA,MUNICIPIO NIMAIMA,MUNICIPIO GUADUAS,Rural,Sin Informacion de Barrios,Cune- GALETA-  HATO-  LA ESPERANZA-  LA FLORIDA-  LA UNION-  NACEDEROS-  Salitre Blanco-  Salitre Negro
228,5,ANTIOQUIA,05002,ABEJORRAL,550,55030,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Alto de Letras
3540,88,ARCHIPIELAGO DE SAN ANDRES,88001,SAN ANDRES,8800,880007,LIMITE URBANO,SAN LUIS,MAR CARIBE,MAR CARIBE,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
1963,41,HUILA,41013,AGRADO,4140,414040,LIMITE URBANO,LIMITE URBANO,KR 1,KR 11,Urbano,Sin Informacion de Barrios,Bajo Buena Vista- Cabecera Municipal-  La Galda
3094,73,TOLIMA,73001,IBAGUE,7300,730002,LIMITE URBANO,KR 5,CL 70,CL 60 Y LIMITE URBANO,Urbano,Sin Informacion de Barrios,Bellavista- El Triunfo-  La Pedreguera
1326,20,CESAR,20001,VALLEDUPAR,2000,200009,MUNICIPIO SAN J. DEL CESAR,RIO AZUCAR BUENO,M. VILLANUE.- LA J. DEL PI. Y SAN D.,VIA BOSC.-VALLED.-SAN J. DEL C.,Rural,Sin Informacion de Barrios,EL ENEAL- LOS SANJONES-  SAN JERONIMO
67,5,ANTIOQUIA,05264,ENTRERRIOS,514,51430,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,CL 14,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
589,13,BOLIVAR,13442,MARIA LA BAJA,1310,131077,MUNICIPIO ARJONA,MUNICIPIO SAN ONOFRE,VIA PUEBLO NUEVO-CORREA,MUNICIPIO SAN ONOFRE,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
286,5,ANTIOQUIA,05145,CARAMANTA,560,56040,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2198,50,META,50110,BARRANCA DE UPIA,5010,501001,CL 13,CL 1,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Cabecera Municipal- Caiman Alto-  Las Moras-  Zona Urbana
1700,25,CUNDINAMARCA,25797,TENA,2526,252610,CL 9,DG 2 S,KR 0,KR 8B,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2192,50,META,50001,VILLAVICENCIO,5000,500004,AK 40 Y KR 33,RIO OCOA  Y  LIM URB,KR  22,KR 48 Y VIA P/LELA C. TIGRE,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
914,15,BOYACA,15638,SACHICA,1538,153880,CL 8,CL 0,KR 0,KR 7,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
1008,17,CALDAS,17653,SALAMINA,1720,172001,LIMITE URBANO,LIMITE URBANO,KR 9,KR 1,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2876,68,SANTANDER,68209,CONFINES,6835,683531,CL 15,CL 3,KR 4,KR 7,Urbano,Sin Informacion de Barrios,Cabecera Municipal- Salitre
48,5,ANTIOQUIA,05308,GIRARDOTA,510,51037,MUNICIPIO DON MATIAS,LIMITE URBANO,MUNICIPIO BARBOSA,MUNICIPIO COPACABANA,Rural,Sin Informacion de Barrios,El Socorro- El Tigre-  La Mata-  La Matica-  Loma de los Ochoa-  Mercedes abrego-  Potrerito
401,8,ATLANTICO,08573,PUERTO COLOMBIA,810,81007,MAR CA. Y M. B/QUILLA,VIA B/QUILLA-PTO. COL.,MPIO. B/QUILLA,MAR CARIBE,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
820,15,BOYACA,15047,AQUITANIA,1524,152429,QUEBRADA SISVACA,M. SAN EDUARDO Y PAEZ,MUNICIPIO CHAMEZA,M. RONDON Y ZETAQUIRA,Rural,Sin Informacion de Barrios,Alejandria- Alpes-  Brisas de Tonce-  Cardoso-  Corales-  Jordan Alto-  Jordan Bajo-  La Esperanza-  Magavita Centro-  Morgui-  Palmar-  Providencia
340,5,ANTIOQUIA,05042,SANTAFE DE ANTIOQUIA,570,57050,CL 20,CL 7,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
225,5,ANTIOQUIA,05400,LA UNION,550,55020,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Cabecera Municipal- La Almeria-  La Concha-  Quebrada Negra-  Vallejuelito
861,15,BOYACA,15798,TENZA,1532,153207,MPIO. LA CAPILLA Y PACHAVITA,MUNICIPIO SUTATENZA,MUNICIPIO GARAGOA,M. LA CAPILLA- TIBIRITA Y GUATEQUE,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
786,15,BOYACA,15464,MONGUA,1520,152001,CL 8,LIMITE URBANO,LIMITE URBANO,KR 7,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2681,63,QUINDIO,63272,FILANDIA,6340,634001,LIMITE URBANO,KR 1,CL 11B,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
1935,41,HUILA,41676,SANTA MARIA,4120,412020,KR 9,KR 1,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
176,5,ANTIOQUIA,05667,SAN RAFAEL,538,53838,MUNICIPIO SAN ROQUE,MUNICIPIO SAN CARLOS,MUNICIPIO SAN ROQUE,MUNICIPIO ALEJANDRIA,Rural,Sin Informacion de Barrios,Agua Bonita- El Chico-  El Diamante-  El Golgota-  La Florida-  La Iraca-  Las Divisas-  Las Flores-  Santa Cruz
752,15,BOYACA,15673,SAN MATEO,1512,151201,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
271,5,ANTIOQUIA,05030,AMAGA,558,55840,LIMITE URBANO,LIMITE URBANO,KR 54B,KR 54 E,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
103,5,ANTIOQUIA,05819,TOLEDO,520,52050,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
338,5,ANTIOQUIA,05306,GIRALDO,570,57040,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2814,68,SANTANDER,68160,CEPITA,6820,682061,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2607,54,NORTE DE SANTANDER,54109,BUCARASICA,5455,545557,QDA. AGUABLANCA Y M. SARDINATA,MPIO. VILLA CARO Y LOURDES,MUNICIPIO SARDINATA,Q/DA. AGUABLANCA Y M. VILLA CARO,Rural,Sin Informacion de Barrios,El Alto- Nuevo Mundo-  Provincia-  San Juana-  San Pablo-  Santa Rita-  Santa Rita
2630,54,NORTE DE SANTANDER,54670,SAN CALIXTO,5470,547010,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
430,8,ATLANTICO,08433,MALAMBO,830,83027,MUNICIPIO SOLEDAD,M. SABANAGRANDE,M. SITIONUEVO,NO SE ENCONTRO NINGUN LIMITE PARA ESTE COSTADO,Rural,Malambito,Sin Informacion de Veredas
1772,25,CUNDINAMARCA,25148,CAPARRAPI,2534,253460,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2939,68,SANTANDER,68720,SANTA HELENA DEL OPON,6855,685501,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2805,68,SANTANDER,68468,MOLAGAVITA,6820,682031,CL 1,CL 8,KR 1,KR 7,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2875,68,SANTANDER,68533,PARAMO,6835,683528,QUEBRADA GUAYANA,MUNICIPIO CHARALA,M. OCAMONTE Y VALLE DE SAN JOSE,MPIO. CONFINES Y SOCORRO,Rural,Sin Informacion de Barrios,Pedregal Arriba
2151,47,MAGDALENA,47161,CERRO SAN ANTONIO,4760,476020,CL 0,CL 10,KR 12,KR 0,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
1046,17,CALDAS,17873,VILLAMARIA,1760,176001,LIMITE URBANO,LIMITE URBANO,KR 0,LIMITE URBANO,Urbano,Sin Informacion de Barrios,La Floresta
1573,25,CUNDINAMARCA,25407,LENGUAZAQUE,2506,250601,CL 8,CL 3 S,KR 2 S,KR 7,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2908,68,SANTANDER,68296,GALAN,6840,684051,CL 10,CL 2,KR 2,KR 11,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
659,13,BOLIVAR,13810,TIQUISIO,1340,134040,CL 3,LIMITE URBANO,KR 16,KR 1,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
873,15,BOYACA,15172,CHINAVITA,1532,153287,NORTE TIBANA,MUNICIPIO GARAGOA,M. RAMIRIQUI Y ZETAQUIRA,M. UMBITA Y PACHAVITA,Rural,Sin Informacion de Barrios,Chiguata- Guayabal-  Quichatoque-  Uvero-  Uvero
335,5,ANTIOQUIA,05113,BURITICA,570,57030,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
3129,73,TOLIMA,73870,VILLAHERMOSA,7315,731501,CL 1,CL 14,KR 0,A CASABLANCA,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
881,15,BOYACA,15879,VIRACACHA,1534,153450,CL 7,LIMITE URBANO,KR 1,KR 9,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
595,13,BOLIVAR,13140,CALAMAR,1315,131547,MUNICIPIO SAN CRISTOBAL,M. ARROYOHONDO Y VIA SATO-SUAN,M. SANTA LUCIA Y SUAN,M. ARROYOHONDO Y SOPLAVIENTO,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
3510,86,PUTUMAYO,86219,COLON,8610,861040,KR 1,KR 15,CL 1,CL 7A,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
1842,27,CHOCO,27600,RIO QUITO,2720,272050,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
1983,41,HUILA,41791,TARQUI,4160,416001,CL 7,CL 5 S,KR 2 E,KR 13,Urbano,Sin Informacion de Barrios,LLANO DEL HATO- SAN JOAQUIN
2933,68,SANTANDER,68773,SUCRE,6850,685041,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
3567,91,AMAZONAS,91669,PUERTO SANTANDER,9150,915010,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
1532,25,CUNDINAMARCA,25754,SOACHA,2500,250051,AK TERRER-TV 13D-KR 77G,TV  7  Y  KR 7,AU SUR,LIMITE URBANO,Urbano,Acuaparque Altanare- Alameda del Pinar- Altos de Camilo Torres- Altos de Portalegre- Altos del Bosque I- Altos del Bosque II- Altos del Bosque III- Altos del Pinar I- Altos del Pinar II- Altos del Pinar III- Altos del Pinar IV- Altos del Sacromonte- Bochi,Sin Informacion de Veredas
724,15,BOYACA,15092,BETEITIVA,1506,150610,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,KR 5,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2637,54,NORTE DE SANTANDER,54206,CONVENCION,5470,547050,KR 20B,KR 1,CL 1,CL 11,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
607,13,BOLIVAR,13894,ZAMBRANO,1320,132047,M. SAN JUAN NEPOMUCENO,MUNICIPIO CORDOBA,MPIO. PLATO Y TENERIFE,M. SAN JACINTO Y EL CARMEN DE B.,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
1110,18,CAQUETA,18756,SOLANO,1840,184010,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
416,8,ATLANTICO,08558,POLONUEVO,820,82040,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Alfonso Lopez- Almendros- Arenosa- Avianca- Camilo Torres- Centro- El Camen- El Porvenir- El Pradito- La Loma- La Victoria- Miraflores- Plaza- Tamarindo,Sin Informacion de Veredas
1783,25,CUNDINAMARCA,25491,NOCAIMA,2536,253620,CL 12,CL 1,KR 1,KR 9,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
1494,23,CORDOBA,23682,SAN JOSE DE URE,2340,234010,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
1736,25,CUNDINAMARCA,25040,ANOLAIMA,2530,253040,CL 3B,DG 6A,KR 14,KR 0,Urbano,Sin Informacion de Barrios,CALNDAIMA- CORAMA-  LA ESMERALDA-  LA LAGUNA-  LA MARIA-  SAN CAYETANO-  SAN ISIDRO-  SAN JUANITO
916,15,BOYACA,15407,VILLA DE LEYVA,1540,154001,KR 14,KR 3,CL 19A,CL 2,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
405,8,ATLANTICO,08832,TUBARA,810,81028,MUNICIPIO PUERTO COLOMBIOA,MUNICIPIO  JUAN DE ACOSTA,VIA TUBARA - BARRANQUILLA,MAR CARIBE,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
449,8,ATLANTICO,08638,SABANALARGA,850,85001,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2031,44,LA GUAJIRA,44001,RIOHACHA,4400,440003,CL 40,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2073,44,LA GUAJIRA,44279,FONSECA,4440,444010,CL 2,CL 29,KR 1,KR 28,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
1485,23,CORDOBA,23350,LA APARTADA,2335,233501,CL 43,CL 16,KR 20,KR 9,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
580,13,BOLIVAR,13052,ARJONA,1310,131028,VIA B/QUILLA-SINCELEJO,MUNICIPIO MARIA LA BAJA,MUNICIPIO MAHATES,VIA ARJONA - CORREA,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
1294,19,CAUCA,19450,MERCADERES,1950,195060,CL 2N,CL 18,KR 5,KR 6,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
398,8,ATLANTICO,08001,BARRANQUILLA,800,80016,KR  38,KR  13,CL  68,CL  83,Urbano,Carlos Meisel- El Silencio- La Esmeralda- La Florida- La Libertad- Las Colinas- Las Terrazas- Me Quejo- Mercedes Sur- Nueva Colombia- Olaya- San Felipe- Villa Rosario,Sin Informacion de Veredas
326,5,ANTIOQUIA,05093,BETULIA,568,56860,LIMITE URBANO,LIMITE URBANO,KR 17,KR 24A,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
981,15,BOYACA,15507,OTANCHE,1550,155060,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Centro- Danubio- El Carmen- Porvenir,Sin Informacion de Veredas
3207,73,TOLIMA,73236,DOLORES,7345,734540,KR 11,KR 2,CL 4 E,CL 19,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2887,68,SANTANDER,68344,HATO,6835,683571,CL 12,CL 0,KR 1,KR 11,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
90,5,ANTIOQUIA,05686,SANTA ROSA DE OSOS,518,51860,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
3141,73,TOLIMA,73520,PALOCABILDO,7315,731580,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2898,68,SANTANDER,68872,VILLANUEVA,6840,684021,CL 20,DG 1,KR 8,TV 17B,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
1678,25,CUNDINAMARCA,25290,FUSAGASUGA,2522,252212,C 19-T-12-C11Y10,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,BETHEL- LA VENTA-  MOSQUERA
756,15,BOYACA,15248,EL ESPINO,1512,151240,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
141,5,ANTIOQUIA,05040,ANORI,528,52850,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
334,5,ANTIOQUIA,05628,SABANALARGA,570,57028,QUEBRADA NIQUIA,MUNICIPIO LIBORINA,MUNICIPIO SAN ANDRES DE CUERQUIA,MUNICIPIO BURITICA,Rural,Sin Informacion de Barrios,Barbacoas- Cabecera Municipal-  El Clavel-  El Encanto-  El Madero-  La Ceja-  La Ermita-  La Fragua-  La Travesia-  Machado-  Mal Paso_Buenos Aires-  Membrillal-  Niquia-  San Cristobal_pena-  San Pedro-  Tesorero-  Tesorito
174,5,ANTIOQUIA,05667,SAN RAFAEL,538,53830,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
1061,17,CALDAS,17616,RISARALDA,1770,177060,CL 20A,CL 6 S,KR 0,KR 8,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2179,47,MAGDALENA,47980,ZONA BANANERA,4780,478020,CL 1,CL 7,KR 20,LIMITE URBANO,Urbano,BARRIO ARRIBA- BARRIO EL PARQUE- BARRIO EL RIO- BARRIO GABRIELA- BARRIO LA BAMBONERA- BARRIO LA BOMBONERA- BARRIO LA CENTRAL- BARRIO LA ESCOBILLA- BARRIO LOS CACHACOS- BARRIO RABO LARGO- BARRIO SAN TROPEL,Sin Informacion de Veredas
143,5,ANTIOQUIA,05885,YALI,530,53010,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
3282,76,VALLE DEL CAUCA,76892,YUMBO,7605,760507,VIA YUMBO  - LA CUMBRE,MUNICIPIO CALI,LIMITE URBANO,MUNICIPIO LA CUMBRE,Rural,Sin Informacion de Barrios,La Buitrera- Medio Dapa-  Miravalle Dapa-  Pilas de Dapa
3342,76,VALLE DEL CAUCA,76497,OBANDO,7625,762501,VIA FERROCARRIL,LIMITE URBANO,LIMITE URBANO,KR 7,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
3448,85,CASANARE,85225,NUNCHIA,8510,851070,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Casco Urbano- Moralito-  Palmita
411,8,ATLANTICO,08296,GALAPA,820,82001,KR 31,KR 9,LIMITE URBANO,CL 27A,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
355,5,ANTIOQUIA,05842,URAMITA,574,57440,KR 24,KR 9,CL 28,CL 19,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
443,8,ATLANTICO,08137,CAMPO DE LA CRUZ,840,84040,CL 5 N,CL 20,KR 1,KR 17A,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
3149,73,TOLIMA,73349,HONDA,7320,732040,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
158,5,ANTIOQUIA,05579,PUERTO BERRIO,534,53420,LIMITE URBANO,LIMITE URBANO,RIO MAGDALENA,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
732,15,BOYACA,15537,PAZ DE RIO,1506,150680,CL 11,CL 1,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2972,68,SANTANDER,68689,SAN VICENTE DE CHUCURI,6865,686531,KR 31,LIMITE URBANO,CL 1,LIMITE URBANO,Urbano,Sin Informacion de Barrios,CASCO URBANO- EL CENTRO
1864,27,CHOCO,27745,SIPI,2740,274050,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
234,5,ANTIOQUIA,05679,SANTA BARBARA,550,55050,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,San Jose
1003,17,CALDAS,17272,FILADELFIA,1710,171020,KR 11,KR 1,CL 11,CL 1,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
696,15,BOYACA,15500,OICATA,1502,150220,CL 7,CL 0,KR 0,KR 6,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
3563,91,AMAZONAS,91530,PUERTO ALEGRIA,9130,913050,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
728,15,BOYACA,15087,BELEN,1506,150640,CL 12,CL 1,LIMITE URBANO,KR 11,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
1248,19,CAUCA,19622,ROSAS,1935,193550,KR 8,KR 1,CL 9,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
911,15,BOYACA,15808,TINJACA,1538,153847,M. SABOYA Y SUTAMARCHAN,M. SAN MIGUEL DE SEMA Y RAQUIRA,M. SUTAMARCHAN Y RAQUIRA,M. CHIQUINQUI. Y SAN MIGUEL DE SE.,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
3311,76,VALLE DEL CAUCA,76246,EL CAIRO,7615,761501,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2796,68,SANTANDER,68669,SAN ANDRES,6820,682001,AL TRAPICHE,LIMITE URBANO,KR 1A,TV 7,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
1236,19,CAUCA,19585,PURACE,1930,193001,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
1800,25,CUNDINAMARCA,25885,YACOPI,2538,253840,CL 17,CL 1,KR 1,KR 8,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
1672,25,CUNDINAMARCA,25120,CABRERA,2520,252040,DG 10,CL 2 S,KR 0,KR 4,Urbano,Sin Informacion de Barrios,ALTO ARIARI- SANTA LUCIA-  SANTA RITA
3098,73,TOLIMA,73001,IBAGUE,7300,730006,KR 5,KR 1- CL 32 Y LIMITE URBANO,CL 60,CL 6 Y KR 1,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
1880,27,CHOCO,27075,BAHIA SOLANO,2760,276030,CL 1,CL 10,LIMITE URBANO,KR 0,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
1271,19,CAUCA,19022,ALMAGUER,1940,194080,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
1581,25,CUNDINAMARCA,25779,SUSA,2506,250630,CL 18,LIMITE URBANO,KR 2 S,KR 6A,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
780,15,BOYACA,15550,PISBA,1518,151801,LIMITE URBANO,CL 4,LIMITE URBANO,KR 4,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2672,63,QUINDIO,63548,PIJAO,6320,632060,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,KR 7,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2864,68,SANTANDER,68245,EL GUACAMAYO,6830,683061,CL 7,CL 1,KR 1,KR 8,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
665,13,BOLIVAR,13458,MONTECRISTO,1340,134070,CL 10,CL 1,KR 13A,KR 0,Urbano,Sin Informacion de Barrios,Cabecera Municipal- Montecristo
2191,50,META,50001,VILLAVICENCIO,5000,500003,CL  35,KR 22 Y RIO OCOA,LIMITE URBANO,AK CIRCUNVALAR,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
1944,41,HUILA,41615,RIVERA,4130,413001,LIMITE URBANO,CL 4 S,LIMITE URBANO,KR 14 A,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
3054,70,SUCRE,70265,GUARANDA,7030,703070,LIMITE URBANO,LIMITE URBANO,KR 2,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2952,68,SANTANDER,68861,VELEZ,6855,685561,CL 13B,CL 2 SUR,LIMITE  URBANO,KR 9,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
1603,25,CUNDINAMARCA,25295,GACHANCIPA,2510,251020,CL 15,CL 7 S,KR 1,KR 9,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
850,15,BOYACA,15022,ALMEIDA,1530,153020,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2786,68,SANTANDER,68425,MACARAVITA,6815,681531,KR 1,KR 6,LIMITE URBANO,CL 7,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
195,5,ANTIOQUIA,05318,GUARNE,540,54058,M. COPACABANA,MUNICIPIO RIONEGRO,VIA COPACA-MARINILLA,MUNICIPIO MEDELLIN,Rural,Sin Informacion de Barrios,Canoas
984,15,BOYACA,15572,PUERTO BOYACA,1552,155201,KR 0,KR 10,CL 35,CL 2S,Urbano,Sin Informacion de Barrios,Cabecera Municipal
730,15,BOYACA,15839,TUTAZA,1506,150660,CL 5,CL 1,KR 1,KR 5,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
3243,76,VALLE DEL CAUCA,76001,CALI,7600,760001,CL 84 N- RIO CAUCA  Y  LIM URB,CL  70 N,KR 1- CL 84  Y  RIO CAUCA,RIO CALI,Urbano,Ciudadela Floralia- Los Guaduales- Paso del Comercio- Sector Puente del Comercio,Sin Informacion de Veredas
1547,25,CUNDINAMARCA,25769,SUBACHOQUE,2502,250220,CL 9,DG 1,KR 5 E,KR 8,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
3672,99,VICHADA,99524,LA PRIMAVERA,9920,992001,CL 1,CL 13,KR 13,KR 4,Urbano,Sin Informacion de Barrios,Cabecera Municipal
