Fecha,Hora,M/T,Intervalo,Temperatura (°C),Humedad (%),Presión Realtiva(hpa),Presión Absoluta(hpa),Velocidad del viento(km/h),Ráfagas(km/h),Dirección del viento,Punto de rocio(°C),Temperatura del aire(°C),Precipitación en la ultima hora(mm),Precipitación en 24 horas (mm),Precipitación semanalmm),Precipitación mensualmm),Precipitación total(mm),Luz(lux)
01/01/2016 12:00:00 AM,08:22:47,PM,30,211,82,1010,898.6,2.5,3.6,E,17.9,21.1,0,0,0.3,0,3093,0.0
01/01/2016 12:00:00 AM,08:52:47,PM,30,213,82,1010,898.6,0,0,SE,18.1,21.3,0,0,0.3,0,3093,0.0
01/01/2016 12:00:00 AM,09:22:47,PM,30,212,82,1009.9,898.5,1.1,2.5,NE,18,21.2,0,0,0.3,0,3093,0.0
01/01/2016 12:00:00 AM,09:52:47,PM,30,208,82,1009.8,898.4,3.6,6.1,E,17.6,20.8,0,0,0.3,0,3093,0.0
01/01/2016 12:00:00 AM,10:22:47,PM,30,201,83,1010.1,898.7,0,0,E,17.1,20.1,0,0,0.3,0,3093,0.0
01/01/2016 12:00:00 AM,10:52:47,PM,30,196,85,1010.1,898.7,1.1,2.5,NE,17,19.6,0,0,0.3,0,3093,0.0
01/01/2016 12:00:00 AM,11:22:47,PM,30,192,85,1010.2,898.8,0,1.1,E,16.6,19.2,0,0,0.3,0,3093,0.0
01/01/2016 12:00:00 AM,11:52:47,PM,30,195,85,1010.3,898.9,1.1,2.5,W,16.9,19.5,0,0,0.3,0,3093,0.0
02/01/2016 12:00:00 AM,12:22:47,AM,30,191,84,1010.3,898.9,2.5,3.6,NE,16.4,19.1,0,0,0.3,0,3093,--.-
,03:22:43,AM,30,,,1015.3,901.1,,,---,,,0,0,1.2,6,396,--.-
02/01/2016 12:00:00 AM,12:52:47,AM,30,191,82,1010.8,899.4,1.1,2.5,S,16,19.1,0,0,0.3,0,3093,--.-
02/01/2016 12:00:00 AM,01:22:47,AM,30,207,77,1011.2,899.8,0,2.5,N,16.5,20.7,0,0,0.3,0,3093,316465.6
02/01/2016 12:00:00 AM,01:52:47,AM,30,225,70,1011.7,900.3,0,1.1,S,16.8,22.5,0,0,0.3,0,3093,--.-
02/01/2016 12:00:00 AM,02:22:47,AM,30,235,71,1011.8,900.4,3.6,6.1,SW,18,23.5,0,0,0.3,0,3093,--.-
02/01/2016 12:00:00 AM,02:52:47,AM,30,242,71,1012.2,900.8,3.6,5,NE,18.6,24.2,0,0,0.3,0,3093,--.-
02/01/2016 12:00:00 AM,03:22:47,AM,30,256,58,1012.4,901,1.1,2.5,SE,16.8,25.6,0,0,0.3,0,3093,--.-
02/01/2016 12:00:00 AM,03:52:47,AM,30,264,54,1012.3,900.9,7.2,8.6,NW,16.4,26.1,0,0,0.3,0,3093,--.-
02/01/2016 12:00:00 AM,04:22:47,AM,30,268,52,1011.9,900.5,1.1,3.6,NW,16.2,26.8,0,0,0.3,0,3093,--.-
02/01/2016 12:00:00 AM,04:52:47,AM,30,275,51,1011.7,900.3,2.5,3.6,NE,16.5,27.5,0,0,0.3,0,3093,296165.1
02/01/2016 12:00:00 AM,05:22:47,AM,30,277,53,1011.2,899.8,8.6,12.2,N,17.3,27.2,0,0,0.3,0,3093,--.-
02/01/2016 12:00:00 AM,05:52:47,AM,30,283,55,1010.6,899.2,7.2,9.7,NW,18.4,28.1,0,0,0.3,0,3093,224025.4
02/01/2016 12:00:00 AM,06:22:47,AM,30,288,55,1010.3,898.9,11.2,19.4,NW,18.9,28.2,0,0,0.3,0,3093,--.-
